transaction_id,date,city,branch_id,account_no,amount,status
TXN941040,2025-05-08,Mumbai,MUM-1,ACC42929,1533.74,SUCCESS
TXN852590,2025-05-08,Mumbai,MUM-1,ACC13212,9962.53,SUCCESS
TXN715342,2025-05-08,Mumbai,MUM-1,ACC37327,1461.66,FAILED
TXN960146,2025-05-08,Mumbai,MUM-1,ACC36972,350.96,SUCCESS
TXN385729,2025-05-08,Mumbai,MUM-1,ACC63231,5459.73,SUCCESS
TXN321964,2025-05-08,Mumbai,MUM-1,ACC45542,824.48,PENDING
TXN372961,2025-05-08,Mumbai,MUM-1,ACC88775,9578.42,SUCCESS
TXN342347,2025-05-08,Mumbai,MUM-1,ACC95556,5850.96,SUCCESS
TXN404555,2025-05-08,Mumbai,MUM-1,ACC67371,5595.38,SUCCESS
TXN935995,2025-05-08,Mumbai,MUM-1,ACC82403,5889.9,SUCCESS
TXN709824,2025-05-08,Mumbai,MUM-1,ACC62015,5034.38,SUCCESS
TXN333336,2025-05-08,Mumbai,MUM-1,ACC57051,6148.27,SUCCESS
TXN903399,2025-05-08,Mumbai,MUM-1,ACC97931,522.55,FAILED
TXN114776,2025-05-08,Mumbai,MUM-1,ACC37273,7190.36,SUCCESS
TXN121743,2025-05-08,Mumbai,MUM-1,ACC79307,7164.08,SUCCESS
TXN693828,2025-05-08,Mumbai,MUM-1,ACC68231,7423.66,SUCCESS
TXN660911,2025-05-08,Mumbai,MUM-1,ACC69092,755.07,SUCCESS
TXN125107,2025-05-08,Mumbai,MUM-1,ACC41793,8037.61,SUCCESS
TXN396079,2025-05-08,Mumbai,MUM-1,ACC50524,3657.74,SUCCESS
TXN730516,2025-05-08,Mumbai,MUM-1,ACC14272,200.51,FAILED
TXN912142,2025-05-08,Mumbai,MUM-1,ACC88590,3510.27,SUCCESS
TXN407039,2025-05-08,Mumbai,MUM-1,ACC55841,4106.94,PENDING
TXN891566,2025-05-08,Mumbai,MUM-1,ACC85689,1213.01,SUCCESS
TXN718175,2025-05-08,Mumbai,MUM-1,ACC86514,6331.55,SUCCESS
TXN119548,2025-05-08,Mumbai,MUM-1,ACC27851,9830.85,SUCCESS
TXN956069,2025-05-08,Mumbai,MUM-1,ACC78288,5297.53,FAILED
TXN216368,2025-05-08,Mumbai,MUM-1,ACC78648,8382.13,SUCCESS
TXN654433,2025-05-08,Mumbai,MUM-1,ACC97921,9600.64,SUCCESS
TXN418658,2025-05-08,Mumbai,MUM-1,ACC79059,9262.07,FAILED
TXN622645,2025-05-08,Mumbai,MUM-1,ACC26658,3710.01,SUCCESS
TXN598789,2025-05-08,Mumbai,MUM-1,ACC17427,3285.41,SUCCESS
TXN878278,2025-05-08,Mumbai,MUM-1,ACC16444,9763.03,SUCCESS
TXN167474,2025-05-08,Mumbai,MUM-1,ACC72043,1212.87,FAILED
TXN178695,2025-05-08,Mumbai,MUM-1,ACC55121,6644.48,SUCCESS
TXN635074,2025-05-08,Mumbai,MUM-1,ACC10826,7960.44,SUCCESS
TXN545869,2025-05-08,Mumbai,MUM-1,ACC10869,6039.02,SUCCESS
TXN567199,2025-05-08,Mumbai,MUM-1,ACC28864,1302.96,FAILED
TXN531044,2025-05-08,Mumbai,MUM-1,ACC83237,2869.78,SUCCESS
TXN255516,2025-05-08,Mumbai,MUM-1,ACC77074,1049.85,SUCCESS
TXN414771,2025-05-08,Mumbai,MUM-1,ACC88828,9488.36,SUCCESS
TXN650074,2025-05-08,Mumbai,MUM-1,ACC16136,3484.03,FAILED
TXN230492,2025-05-08,Mumbai,MUM-1,ACC71561,8932.78,SUCCESS
TXN111382,2025-05-08,Mumbai,MUM-1,ACC84096,8856.74,SUCCESS
TXN354808,2025-05-08,Mumbai,MUM-1,ACC75648,5370.6,SUCCESS
TXN788858,2025-05-08,Mumbai,MUM-1,ACC21009,8264.57,SUCCESS
TXN333190,2025-05-08,Mumbai,MUM-1,ACC20627,8356.6,SUCCESS
TXN753655,2025-05-08,Mumbai,MUM-1,ACC78945,3951.74,FAILED
