transaction_id,date,city,branch_id,account_no,amount,status
TXN613032,2025-05-08,Bangalore,BAN-4,ACC48747,9829.71,FAILED
TXN199846,2025-05-08,Bangalore,BAN-4,ACC27863,520.65,SUCCESS
TXN103123,2025-05-08,Bangalore,BAN-4,ACC75834,4215.3,SUCCESS
TXN610557,2025-05-08,Bangalore,BAN-4,ACC78272,3104.29,SUCCESS
TXN937002,2025-05-08,Bangalore,BAN-4,ACC67461,6350.96,SUCCESS
TXN786914,2025-05-08,Bangalore,BAN-4,ACC93473,8101.98,SUCCESS
TXN790214,2025-05-08,Bangalore,BAN-4,ACC55994,8440.95,PENDING
TXN258367,2025-05-08,Bangalore,BAN-4,ACC70474,6297.16,SUCCESS
TXN159881,2025-05-08,Bangalore,BAN-4,ACC16051,9124.1,SUCCESS
TXN448558,2025-05-08,Bangalore,BAN-4,ACC98589,5600.78,SUCCESS
TXN651564,2025-05-08,Bangalore,BAN-4,ACC91299,4822.57,SUCCESS
TXN631176,2025-05-08,Bangalore,BAN-4,ACC66922,9639.54,SUCCESS
TXN473978,2025-05-08,Bangalore,BAN-4,ACC41834,7290.59,SUCCESS
TXN753440,2025-05-08,Bangalore,BAN-4,ACC23728,7874.25,SUCCESS
TXN967166,2025-05-08,Bangalore,BAN-4,ACC77388,2243.08,SUCCESS
TXN425836,2025-05-08,Bangalore,BAN-4,ACC63742,8364.7,FAILED
TXN556205,2025-05-08,Bangalore,BAN-4,ACC59547,4263.98,PENDING
TXN550443,2025-05-08,Bangalore,BAN-4,ACC99907,9544.92,FAILED
TXN408792,2025-05-08,Bangalore,BAN-4,ACC65395,7868.94,SUCCESS
TXN545109,2025-05-08,Bangalore,BAN-4,ACC94085,6689.95,SUCCESS
TXN798312,2025-05-08,Bangalore,BAN-4,ACC31737,3709.59,SUCCESS
TXN225417,2025-05-08,Bangalore,BAN-4,ACC72190,2431.35,FAILED
TXN454531,2025-05-08,Bangalore,BAN-4,ACC41355,1904.45,SUCCESS
TXN193790,2025-05-08,Bangalore,BAN-4,ACC43774,7176.96,SUCCESS
TXN285900,2025-05-08,Bangalore,BAN-4,ACC95130,4899.11,SUCCESS
TXN484462,2025-05-08,Bangalore,BAN-4,ACC95276,5855.18,SUCCESS
TXN978093,2025-05-08,Bangalore,BAN-4,ACC70934,9634.09,FAILED
TXN147216,2025-05-08,Bangalore,BAN-4,ACC61028,3887.65,SUCCESS
TXN387158,2025-05-08,Bangalore,BAN-4,ACC80838,108.91,SUCCESS
TXN860743,2025-05-08,Bangalore,BAN-4,ACC39069,3605.09,SUCCESS
TXN554651,2025-05-08,Bangalore,BAN-4,ACC63540,3754.13,SUCCESS
